Concept nr.	Concept	Set	Standard Transcription	List ID	Code	Comment	Stem	Confirmed	Source	Mediator	Add	cognate
1	the ant	1 - 5	qarışqa	106	Qax7	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	108	Qax9	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	133	Yersi1	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	134	Yersi2	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	135	Yersi3	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 6	зибз	10	D_Agul	NA	6	NA	NA	NA	NA	NA
1	the ant	1 - 6	зимз	24	D_Tabasaran	NA	6	NA	NA	NA	NA	NA
1	the ant	1 - 6	zimzu	140	D_Archi	NA	6	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	23	D_Rutul	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	48	Ikhrek1	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	49	Ikhrek2	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	50	Ikhrek3	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	51	Ikhrek4	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	81	Kiche1	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	82	Kiche2	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	112	Rutul1	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	172	Kina4	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	173	Kina5	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	174	Kina3a	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	175	Kina2a	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	176	Kina1a	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	170	Khnov2	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 8	дзыдза1хъ	171	Khnov3	NA	8	NA	NA	NA	NA	NA
1	the ant	1 - 9	зингат	151	E_Chechen	NA	9	NA	NA	NA	NA	NA
1	the ant	1 - 13	къомурсгъа	152	E_Kumyk	NA	13	NA	NA	NA	NA	NA
1	the ant	1 - 14	танц1ц1а	9	D_Botlikh	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъанц1ц1и	16	D_Gagatli	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъарц1ц1е	19	D_Karata	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъарц1ц1е	53	Karata1	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъарц1ц1е	55	Karata3	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъарц1ц1е	56	Karata4	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъанц1ц1и	111	Rikvani1	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъанц1ц1и	137	Zilo1	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъанц1ц1и	138	Zilo2	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъарц1ц1е	154	Anchikh1	plural	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъарц1ц1е	155	Anchikh2	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъанц1ц1и	156	Kvankhidatli1	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъарц1ц1е	157	Tukita2	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъарц1ц1е	158	Tukita3	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъарц1ц1е	159	Tukita4	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 14	лъарц1ц1е	160	Tukita5	NA	14	NA	NA	NA	NA	yes
1	the ant	1 - 16	муравей	22	E_Russian	NA	16	NA	NA	NA	NA	NA
1	the ant	1 - 17	рецен	18	D_Hinuq	NA	17	NA	NA	NA	NA	yes
1	the ant	1 - 17	РЕЦÉНЙО	25	D_Tsez	NA	17	NA	NA	NA	NA	yes
1	the ant	1 - 17	РЕЦÉНЙО	83	Kidero1	NA	17	NA	NA	NA	NA	yes
1	the ant	1 - 17	РЕЦÉНЙО	84	Kidero2	NA	17	NA	NA	NA	NA	yes
1	the ant	1 - 17	РЕЦÉНЙО	85	Kidero3	NA	17	NA	NA	NA	NA	yes
1	the ant	1 - 20	цIунцIра	150	E_Avar	NA	20	NA	NA	NA	NA	NA
1	the ant	1 - 23	цегв	21	D_Lezgian	NA	23	NA	NA	NA	NA	NA
1	the ant	1 - 24	жуНж	146	D_Bagvalal	NA	24	NA	NA	NA	NA	yes
2	the arch	2 - 1	чарх	10	D_Agul	NA	1	NA	NA	NA	NA	NA
2	the arch	2 - 1	чарх	23	D_Rutul	NA	1	NA	NA	NA	NA	NA
2	the arch	2 - 1	чарх	24	D_Tabasaran	NA	1	NA	NA	NA	NA	NA
2	the arch	2 - 1	чарх	50	Ikhrek3	NA	1	NA	NA	NA	NA	NA
2	the arch	2 - 1	чарх	81	Kiche1	NA	1	NA	NA	NA	NA	NA
2	the arch	2 - 1	чарх	82	Kiche2	NA	1	NA	NA	NA	NA	NA
2	the arch	2 - 1	чарх	112	Rutul1	NA	1	NA	NA	NA	NA	NA
2	the arch	2 - 1	чарх	174	Kina3a	NA	1	NA	NA	NA	NA	NA
2	the arch	2 - 1	чарх	175	Kina2a	NA	1	NA	NA	NA	NA	NA
2	the arch	2 - 2	арка	22	E_Russian	NA	2	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1к1амур	9	D_Botlikh	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1к1амур	16	D_Gagatli	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	кIамури	18	D_Hinuq	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1амур	19	D_Karata	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	КIÁМУ	25	D_Tsez	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1амур	53	Karata1	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1амур	55	Karata3	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	КIÁМУ	84	Kidero2	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	КIÁМУ	85	Kidero3	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1к1амур	111	Rikvani1	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1к1амур	137	Zilo1	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1к1амур	138	Zilo2	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	kummur	140	D_Archi	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	k’amur	141	D_Bezhta2	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	кIáмур	142	Tlibisho1	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	кIáмур	143	Tlibisho2	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	кIáмур	144	Tlibisho3	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	кIáмур	146	D_Bagvalal	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	кIамури	150	E_Avar	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1амур	155	Anchikh2	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1к1амур	156	Kvankhidatli1	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1амур	157	Tukita2	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 3	к1амур	159	Tukita4	NA	3	NA	NA	NA	NA	NA
2	the arch	2 - 5	taʁi	1	Alibeglo1	CONFIRMED	5	NA	NA	NA	NA	NA
2	the arch	2 - 5	tağ	13	E_Azerbaijani	NA	5	NA	NA	NA	NA	NA
2	the arch	2 - 5	tağ	27	Darvag2	NA	5	NA	NA	NA	NA	NA
2	the arch	2 - 5	tağ	52	Ilisu1	NA	5	NA	NA	NA	NA	NA
2	the arch	2 - 5	taʁi	96	Meshabash1	CONFIRMED	5	NA	NA	NA	NA	NA
2	the arch	2 - 5	tağ	101	Qax2	NA	5	NA	NA	NA	NA	NA
2	the arch	2 - 5	taʁi	103	Qax4	NA	5	NA	NA	NA	NA	NA
2	the arch	2 - 5	taʁi	104	Qax5	CONFIRMED	5	NA	NA	NA	NA	NA
2	the arch	2 - 5	tağ	106	Qax7	NA	5	NA	NA	NA	NA	NA
2	the arch	2 - 5	taʁi	148	E_Georgian	NA	5	NA	NA	NA	NA	NA
2	the arch	2 - 5	tāq	153	E_Persian	NA	5	NA	NA	NA	NA	NA
2	the arch	2 - 6	ад	23	D_Rutul	NA	6	NA	NA	NA	NA	NA
2	the arch	2 - 14	гюмез	152	E_Kumyk	NA	14	NA	NA	NA	NA	NA
2	the arch	2 - 16	нартол	151	E_Chechen	consultant does not know or recognize the word	16	NA	NA	NA	NA	NA
2	the arch	2 - 18	"قَوْس
"	149	E_Arabic	qaẘs	18	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	13	E_Azerbaijani	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	23	D_Rutul	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	26	Darvag1	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	27	Darvag2	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	28	Darvag3	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	29	Darvag4	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	31	Darvag5	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	32	Darvag6	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	48	Ikhrek1	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	49	Ikhrek2	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	50	Ikhrek3	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	51	Ikhrek4	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	52	Ilisu1	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	81	Kiche1	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	82	Kiche2	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	101	Qax2	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	102	Qax3	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	106	Qax7	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	108	Qax9	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	112	Rutul1	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	133	Yersi1	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	134	Yersi2	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	balta	135	Yersi3	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	152	E_Kumyk	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	172	Kina4	большой	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	173	Kina5	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	174	Kina3a	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	175	Kina2a	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 1	балта	176	Kina1a	NA	1	NA	NA	NA	NA	NA
3	the axe/ax	3 - 2	"فَأْس
"	149	E_Arabic	fā̊̉s	2	NA	NA	NA	NA	NA
3	the axe/ax	3 - 3	najakhi	148	E_Georgian	NA	3	NA	NA	NA	NA	NA
3	the axe/ax	3 - 4	õg	8	Bezhta1	NA	4	NA	NA	NA	NA	yes
3	the axe/ax	3 - 4	ог	18	D_Hinuq	NA	4	NA	NA	NA	NA	yes
3	the axe/ax	3 - 4	õg	141	D_Bezhta2	NA	4	NA	NA	NA	NA	yes
3	the axe/ax	3 - 4	õg	161	Bezhta2	NA	4	NA	NA	NA	NA	yes
3	the axe/ax	3 - 5	tsuli	1	Alibeglo1	NA	5	NA	NA	NA	NA	NA
3	the axe/ax	3 - 5	tsuli	96	Meshabash1	NA	5	NA	NA	NA	NA	NA
3	the axe/ax	3 - 5	tsuli	103	Qax4	CONFIRMED	5	NA	NA	NA	NA	NA
3	the axe/ax	3 - 5	tsuli	104	Qax5	NA	5	NA	NA	NA	NA	NA
3	the axe/ax	3 - 5	tsuli	105	Qax6	большой топор	5	NA	NA	NA	NA	NA
3	the axe/ax	3 - 5	tsuli	148	E_Georgian	NA	5	NA	NA	NA	NA	NA
3	the axe/ax	3 - 6	топор	22	E_Russian	NA	6	NA	NA	NA	NA	NA
3	the axe/ax	3 - 6	tabərzan	140	D_Archi	NA	6	NA	NA	NA	NA	NA
3	the axe/ax	3 - 6	tabar	153	E_Persian	NA	6	NA	NA	NA	NA	NA
3	the axe/ax	3 - 6	tabar	153	E_Persian	NA	6	NA	NA	NA	NA	NA
3	the axe/ax	3 - 8	аНжито	19	D_Karata	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжито	53	Karata1	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжито	55	Karata3	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжито	56	Karata4	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжито	126	Tukita1	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжитв	142	Tlibisho1	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжитв	143	Tlibisho2	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжитв	144	Tlibisho3	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжитв	145	Tlibisho4	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжитв	146	D_Bagvalal	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжито	154	Anchikh1	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжито	155	Anchikh2	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжито	157	Tukita2	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжито	158	Tukita3	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжито	159	Tukita4	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 8	аНжито	160	Tukita5	NA	8	NA	NA	NA	NA	yes
3	the axe/ax	3 - 10	гIащтIи	150	E_Avar	NA	10	NA	NA	NA	NA	NA
3	the axe/ax	3 - 11	ГIО	25	D_Tsez	NA	11	NA	NA	NA	NA	yes
3	the axe/ax	3 - 11	ГIО	83	Kidero1	NA	11	NA	NA	NA	NA	yes
3	the axe/ax	3 - 11	ГIО	84	Kidero2	NA	11	NA	NA	NA	NA	yes
3	the axe/ax	3 - 11	ГIО	85	Kidero3	NA	11	NA	NA	NA	NA	yes
3	the axe/ax	3 - 12	диг	151	E_Chechen	NA	12	NA	NA	NA	NA	NA
3	the axe/ax	3 - 13	якIв	10	D_Agul	NA	13	NA	NA	NA	NA	NA
3	the axe/ax	3 - 13	як1в	21	D_Lezgian	NA	13	NA	NA	NA	NA	NA
3	the axe/ax	3 - 13	екIв	24	D_Tabasaran	NA	13	NA	NA	NA	NA	NA
3	the axe/ax	3 - 13	як1в	165	Fiy1	confirmed	13	NA	NA	NA	NA	NA
3	the axe/ax	3 - 13	як1в	166	Fiy2	NA	13	NA	NA	NA	NA	NA
3	the axe/ax	3 - 13	як1в	168	Gdym2	NA	13	NA	NA	NA	NA	NA
3	the axe/ax	3 - 14	ишину	18	D_Hinuq	NA	14	NA	NA	NA	NA	yes
3	the axe/ax	3 - 15	курт1а	9	D_Botlikh	NA	15	NA	NA	NA	NA	yes
4	the ball	4 - 1	burti	1	Alibeglo1	NA	1	NA	NA	NA	NA	NA
4	the ball	4 - 1	burti	96	Meshabash1	NA	1	NA	NA	NA	NA	NA
4	the ball	4 - 1	burti	103	Qax4	NA	1	NA	NA	NA	NA	NA
4	the ball	4 - 1	burti	104	Qax5	NA	1	NA	NA	NA	NA	NA
4	the ball	4 - 1	burti	105	Qax6	NA	1	NA	NA	NA	NA	NA
4	the ball	4 - 1	burti	148	E_Georgian	NA	1	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	10	D_Agul	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	13	E_Azerbaijani	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	21	D_Lezgian	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	23	D_Rutul	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	24	D_Tabasaran	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	ТОП	25	D_Tsez	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	26	Darvag1	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	27	Darvag2	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	28	Darvag3	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	29	Darvag4	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	31	Darvag5	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	32	Darvag6	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	48	Ikhrek1	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	49	Ikhrek2	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	50	Ikhrek3	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	51	Ikhrek4	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	52	Ilisu1	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	66	Khlyut1	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	67	Khlyut2	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	68	Khlyut3	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	69	Khlyut4	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	70	Khlyut5	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	81	Kiche1	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	82	Kiche2	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	101	Qax2	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	102	Qax3	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	106	Qax7	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	108	Qax9	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	112	Rutul1	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	133	Yersi1	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	134	Yersi2	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	top	135	Yersi3	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	dump	140	D_Archi	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	топ	152	E_Kumyk	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	tup	153	E_Persian	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	165	Fiy1	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	166	Fiy2	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	167	Gdym1	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	168	Gdym2	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	169	Khnov1	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	170	Khnov2	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	171	Khnov3	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	172	Kina4	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	173	Kina5	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	174	Kina3a	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	175	Kina2a	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 2	туп	176	Kina1a	NA	2	NA	NA	NA	NA	NA
4	the ball	4 - 3	كُرَة	149	E_Arabic	kuraẗ	3	NA	NA	NA	NA	NA
4	the ball	4 - 4	шар	22	E_Russian	NA	4	NA	NA	NA	NA	NA
4	the ball	4 - 4	šar	141	D_Bezhta2	NA	4	NA	NA	NA	NA	NA
4	the ball	4 - 5	буьрка	151	E_Chechen	NA	5	NA	NA	NA	NA	NA
4	the ball	4 - 6	гирген	10	D_Agul	NA	6	NA	NA	NA	NA	NA
4	the ball	4 - 8	к1ак1у	9	D_Botlikh	NA	8	NA	NA	NA	NA	yes
4	the ball	4 - 9	кIохIло	18	D_Hinuq	NA	9	NA	NA	NA	NA	yes
4	the ball	4 - 11	мяч	22	E_Russian	NA	11	NA	NA	NA	NA	NA
4	the ball	4 - 12	соло-соло	19	D_Karata	NA	12	NA	NA	NA	NA	yes
4	the ball	4 - 12	соло-соло	53	Karata1	NA	12	NA	NA	NA	NA	yes
4	the ball	4 - 12	соло-соло	55	Karata3	NA	12	NA	NA	NA	NA	yes
4	the ball	4 - 12	соло-соло	56	Karata4	NA	12	NA	NA	NA	NA	yes
4	the ball	4 - 13	торгьо	16	D_Gagatli	NA	13	NA	NA	NA	NA	NA
4	the ball	4 - 13	торгIо	18	D_Hinuq	NA	13	NA	NA	NA	NA	NA
4	the ball	4 - 13	торгьо	111	Rikvani1	NA	13	NA	NA	NA	NA	NA
4	the ball	4 - 13	торгьо	137	Zilo1	NA	13	NA	NA	NA	NA	NA
4	the ball	4 - 13	торгьо	138	Zilo2	NA	13	NA	NA	NA	NA	NA
4	the ball	4 - 13	торгьо	156	Kvankhidatli1	NA	13	NA	NA	NA	NA	NA
4	the ball	4 - 14	квáтара	142	Tlibisho1	NA	14	NA	NA	NA	NA	yes
4	the ball	4 - 14	квáтара	144	Tlibisho3	NA	14	NA	NA	NA	NA	yes
4	the ball	4 - 14	квáтара	145	Tlibisho4	NA	14	NA	NA	NA	NA	yes
4	the ball	4 - 14	квáтара	146	D_Bagvalal	NA	14	NA	NA	NA	NA	yes
4	the ball	4 - 15	bali	148	E_Georgian	NA	15	NA	NA	NA	NA	NA
4	the ball	4 - 17	пенц1еро	150	E_Avar	NA	17	NA	NA	NA	NA	NA
5	the barrel	5 - 1	بَرْمِيل	149	E_Arabic	bar̊mīl	1	NA	NA	NA	NA	NA
5	the barrel	5 - 2	пучка	9	D_Botlikh	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	бучка	10	D_Agul	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	пошка	19	D_Karata	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	бочка	22	E_Russian	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	бочка	25	D_Tsez	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	пошка	53	Karata1	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	пошка	55	Karata3	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	пошка	56	Karata4	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	бочка	83	Kidero1	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	бочка	84	Kidero2	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	пошка	126	Tukita1	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	бочка	143	Tlibisho2	ADD_ENTRY	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	бочка	144	Tlibisho3	ADD_ENTRY	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	бочка	145	Tlibisho4	ADD_ENTRY	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	бочка	146	D_Bagvalal	ADD_ENTRY	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	бочка	152	E_Kumyk	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	boške	153	E_Persian	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	пошка	154	Anchikh1	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	пошка	155	Anchikh2	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	пошка	158	Tukita3	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 2	пошка	160	Tukita5	NA	2	NA	NA	NA	NA	NA
5	the barrel	5 - 3	челег	10	D_Agul	NA	3	NA	NA	NA	NA	NA
5	the barrel	5 - 3	çəllək	13	E_Azerbaijani	NA	3	NA	NA	NA	NA	NA
5	the barrel	5 - 3	челег	24	D_Tabasaran	NA	3	NA	NA	NA	NA	NA
