w_id	word	Chechen	ZH..АЗ.Azerbaijani	ZI..KU..Kumyk	ZJ..KT..Kumyk_Kajtag_Tumenler	A..АВЧД.Avar..Chadakolob.	B..АНД.Andi		C..АХВ.Akhvakh	D..ЧАМ.Chamalal	E..ЧАМГ.Chamalal..Gigatli.	F..ТИНД.Tindi	G..ИНХ.Inkhokwari	H..ЦЕЗ.Tsez	I..ГИН.Hinuq	J..БЕЖТ.Bezhta..Tladal.	K..БЕЖХ.Bezhta..Khoshar.Khota.	L..ГУНЗ.Hunzib	M..ЛАК.Lak	N..ДАРЧ.Chirag.Dargwa	O..АРЧ.Archi	P..ТАБД.Tabasaran..Dyubek.	Q..ТАБК.Tabasaran..Kondik.	R..АГБЩ.Agul..Burshag.	S..АГРИ.Agul..Richa.	T..АГБХ.Agul..Burkikhan.	U..АГФИ.Agul..Fite.	V..АГТП.Agul..Tpig.	W..ЛЕЗХ.Lezgian..Khlyut.	X..РУТЛ.Rutul..Luchek.	ZA..ЦАХ.Tsakhur..Mikik.	ZB..ЦАХГ.Tsakhur..Helmets.	ZC..ЦАХЦ.Tsakhur..Tsakhur.	ZD..КРЫЗ.Kryz	ZE..БУД.Budugh	ZF..ХИН.Khinalug	ZG..УД.Udi
11	РОТ (ВНЕШНИЙ)	бага	ағыз	авуз	авзу	k'al	k'ol/H		q'eli/R	el-mis'/L-R	elmic'i/L-RL	s̄unk'ya	maIL'u, zɨze/LH	hut', haqu || haqa	hut', haqu	šik'ö/M	sik'o	šik'u, qašu	q'ac', zumalu	dem	s̄ob	úz̊u/H	us̊	siw	siw	siw	sib	NA	siw	ǧal	ǧaly/HL	ǧaly	ǧaly	siv	siv	aRzɨ	žIomo
12	ГУБА	балд	додаг	эрин	эрни	k'˳et'	sim/F, s̄unt'ul/H		s̄eme/HL	kočul/L	kučúl/L	simu	maIL'u	L'epu	L'epu	poro/M	poro	poro	murc̄̌˳i	xamxám	k'̥et'	k'ánt'a/H	k'˳ant'	K'ent'˳, muʔúl	K'ent'˳, muʔúl	k'ampúr, muʔúl	muʔúl, k'ampúr	NA	p'ɨz	p'ɨz, buk'	pɨšnyɨ/H, p'ɨz/L, bok'/H	p'ɨz, bok'	pɨšnyɨ || pušnyɨ, p'ɨz, bok'	pěk', p'ɨz	pak'	t'al	ǯiǯir
13	ПОДБОРОДОК	ч1анг	чәнә	сакъалсюек	сакъал	notó-k'ič	žuna/L		žonoL̄i/L	mizat'o	kučaLí/L	žinaLu	č'eč'en/R	č'ič'in	č'ič'inu	č'ič'inä/M	c'ic'ina	kocor	lult̄umak'	muc'úr	L'ir-g˳árči	šarxál/H	k̄amk̄am	muč'rínkul	muč'úr	k̄amk̄ám	k̄alk̄ám	NA	čaná	q'ac'	q'ac'/H	q'ac'	q'ac'	čěnä	čänä	čänä́	čänä
14	ЧЕЛЮСТЬ	мочхал	чәнә	чене, яякъсюек	туп къанкъай	č'ánda	č'amč'al/HF		q̄elekoL̄iraL̄'i	erL˳/RL	érLi/HL	eLu	NA	č'ič'in	L'aqa	L'aqa/MR	L'aqa	L'aqa	X̄inču	X̄ínča	čarX	šarxál	garšíl	muč'úr	NA	muč'úr	NA	NA	čanádinräX	čaná	čene/H	čene	čene	čěnäǯ q'ul	čänä	čänä	čänä
15	ЯЗЫК (ОРГАН)	мотт	дил	тил	тил	mac'	mic̄'i/HL		mic̄'i/HL	mis'/R	mic'í/L	mici	mɨc/F	mec	mec	mic/M	mic	mɨc	maz	mec̄	mac	mílʒi/F	melʒ || melz	mez	mez	mez	miz	NA	mez	miz	miz/L	miz	miz	mez	mäz || mez	mic'	muz
16	ДЁСНЫ	долаш	диш әти	тишетлер	тишни этлери	dab	tomil/HL		keke/H	tama/L	táma/L	Xamala	zɨmor/HL	cemori/H	somore	č'imät'ö/m	c'mac'	č'emat'	sina	culbála dig	saná	muq̄umúq̄u/R	NA	NA	NA	NA	NA	NA	xalxám	xamx	damaR/H	mizaq'-um	damaR	dij	silimbi jək	ízin	t̃amaR
17	ЗУБ	церг	диш	тиш	тиш	šibí	sol/H		čilo/R	sal˳/H	suj/H	salu	sɨl/F	k'icu	K'eču	sila/LM	sila	sɨlo	k̄˳arc̄̌i	cúla	sot	sílbi/F	slib	seléw	siléb	seléw || siléw	silíb	NA	sas	sɨs	sili/L	sili	sili	sil	sil	culóz	uluX
18	КЛЫК (СОБАКИ)	к1омсар	гафлан (көпек) диши	тиш	тиш	gánža	siGi/L		gožo/L	koža/L	XanXá/L	kožu	kožu/HL	K'et'usk'icu	NA	gäžö/M	gäžö	K'θcu, gẽžu	x̄ut'i	X˳Ia-cúla	sot	k'ámc̄̌a/R	k̄anc̄̌	k̄anc̄̌	NA	k̄anc̄̌	k̄anc̄̌	NA	k'ir	vɨgɨ́n	azɨ || azu/HL	azu	NA	NA	sil	culoz	meran
19	КОРЕННОЙ ЗУБ (МОЛЯР)	кхаьла	азыдиши	азавтиш	азав тиш	ʕuš	guži/L		R˳ẽc̄'i/HL	X˳abaLsal˳	XóbaLal suj	X˳aLa salu	R˳lẽs sɨl/H-F	gažu	gažu	rüq'ö sila	Xag	XoRin	t'uIj	ganžé	gáInži	šárRIa/H	šarRI	seX˳	NA	seX˳	siX˳	NA	k̃˳aláX	R˳abád sɨs	xajɨkin sili	kokakin sili	azɨ	saX	azu	a:ǯí cuióz	NA
20	ГОРЛО	лак	боғаз, удлаг	тамакъ	тамакъ	čuq'úr, muq'lúq	q'˳anq'˳a/L		maq'ala/HHF	q'ũq'a/H	q'unq'aLí/HHR	maq'ala, qo'anqo'ala	q'ir-baji/L-L	baIja, baIja-mes t'aHu, qeq	k'es, q˳aq || q˳eq	q'asq'at'o/M, ris-muq'/L-M	q'asq'at'o, ris-muq'	qarqač'u, RɵR	q'aq'ari, kuX	q'aq'áre, q̄umq̄úm	hanq', q'áq'əra	dǘt'ü, GuX/F	düd, q'arq'ár, düdúXI	bazbáz	NA	NA	q'urq'	NA	t̃üd	buRáz, q'arXán, q'aq'árag	buRaz/H, K'arXam/H, RIot'/H	RIut'	buRaz, RIot'	gäli, Xulut', zäli	golu, q'ult'uXum	Xurt'úm, buRáz	q̃oq̃
21	КАДЫК	логан шад	һулҝум (улғум) или адәм алмасы	хыртлемек	хирти	muq'lúq'il guH	šeq'e/HL		maq'aliL̄i K'aru/H-RL	q'ũq'aL K'oč'/H-H	q'unq'aLiL K'oč'u/H	k'oru	qorčin	NA	NA	NA	rislis q'öš	q'uč'i	qIut'	q'un	gurq'Ií	NA	NA	RuX	q'urq'án t'ur	q'urq'án KuléX	q'arq'án t'ur	NA	Xad	buRázad t'ur	Xɨrt'am/L	Xɨrt'am	hɨrq'Ium	u	ulRum	ulRúm	Xirtäj
22	ШЕЯ	ворта	бојун	боюн	бойну	gubúr	garu/H		k'oli/HF	ǯajL˳/L	ǯarú/L	gyaru	muč'/F	meč'	moc', ris/L	boƗo/ML	boƗo	bolo	s̄urs̄u	sus	oIč'-lék̄i|oIč'i	gardán/H	gardán	NA	gadán	gardán	gardán	NA	q'am, gardán	gardán	gardan/H	NA	gardan	gardan	gərdən	gardán, q'unú	ozan
23	ТЕЛО	дег1	бәдән	къаркъара	къаркъара	čerX	gumugi/L, laga/L, q'arq'ala/HHL		q̄'aq̄'ala/HHF	laga/L, q'arq'ala/L	čérXi/L, q'arq'ala/L, lagá/L	laga, q'arq'ala	laga/L	laga	laga	maRo/LM	maRo, q'arq'ala	q'arq'ala, møRu	čurX, q'arq'ala	žan, čarX̄, q'arq'ála	q'arq'ála, čerX	ǯandák, ǯan/H	ǯan, hac'	ǯan	žan	ǯan	ǯan	NA	ē̌an	ǯan, bedén	ǯandak/RL	NA	ǯan, ǯandak	ǯěndäk, tän	andam	bädä́n	läš
24	ТУША (ЖИВОТНОГО)	NA	ҹәмдәк	чарх	чарх	q'arq'ála	q'ujlo/HL		q̄'ulaʕe/HHL	q'ula/HL	q'úla/HL	q'ulaj	q'ulaʕi/R	qo'Ialaʕi	qo'arqo'ala	qamala/M	qamala	qamala	X̄anX̄a, bahaqI	X̄ámX̄a	X̄ámX̄i	ǯandák/H	ǯandák, RaX	ǯandák	žandák	ǯandák	ǯandák	NA	žandák	laš, ǯandák	las̄̌aǧ/H	las̄̌ag	ǯandak, las̄̌ag	ǯěndäk, ujmä	ǯendek	ǯandák	läš
25	СПИНА	букъ	күрәк, бел	аркъа, сырт	аркъа	muR	miRul/L		raq̄'˳aL̄i/RRL	beq'uL/L	q'oj/H, béq'uLal/L	beXuma	gụgu/L, hĩc'c'e/HL	gugu, Xuti	moqoli, ašuna	miqaro/MHL, cit'iraL'as || tic'iraL'as/M	miqaro, cot'araL'as	mɨqər, kõt'-šit'aXu	t̄ilik', ba:Inis̄a	NA	s̄on	q'Ial/H, jíq'i/R	q'Ial, jiq'	NA	NA	utun, kafál, jaʔ, q'ap'q'áp'	NA	NA	k̃lar, juq'	jɨq'I, jix˳	jɨq'I/R	NA	jɨq'I	jiq'	jiq'iǯ, bel	nä́k'id	bac̄̌Ian
26	ПЛЕЧО	белш	чијин	инбаш	инмаш	Rež	riži/L		Rẽ:ča/L	ǯajL˳, beXun/LH	beXún/LH	RažuLa ruL'a	c'aRa/HL	Hiro	q'ilu	q'erö/RLM	q'ero	q'eru	qač	qac'ára	qIun	GIun/H	RIun	Řunín K'il, Řun	Řunín K'il, Řun	Řanán K'il	RIunín k'il	NA	q̃ün	RIun	mɨǧa/H	NA	mɨga	qunä	kɨla ʕadiǯ	čigín	aImna-bul
27	ПОДМЫШКА	пхьарс к1ело	голтуг	къолтукътюп	къолтукъ, къултукъ	q'˳aL'	G˳aL'u/HL		q̄'˳aL̄'i/HL	q'˳ajL'/L	q'˳oduL'í/HHR	q'˳arL'i	q'˳aL'i/HL	gedinol	habiL	nuquL/M	nuquL	nuqiL	qaralalu	K'unč'la x̄ar	XilíL'	q'Iúča/H	RIuč'an ič, RIuč	ʡač'án urk'	ač'án urk', a̦č	ʡač'ín urK', ʡač'	ʡač'án || ač'án urk'	NA	qɵč'ü lak'˳	xɨlí	xɨtyxaly/H	xatyxaly	xɨtyxaly	käl q'än, käl	GultuR	umpá	aImna-oq
28	БОК	аг1о	бөјүр	къабургъа	къавургъа	xibíl, c'ot'	isib/LH		eše/RL	esib/L	isíb/LH	esaba	žebla/HL	pu	pu	šeblö/ML	šeblo	šeble	čul	s̄̌ilé	bak˳	R˳al/H, żarán/H	R˳al, żurán	ʡač	q˳̄al, bag˳	bag˳	q˳̄al	NA	q̃˳al, p̃ag˳	begy, haq'	mɨǧɨly/H, ak'˳a/HL	muguly, Garfɨn	muguly, ak'˳a	beg, kěš	jan	buǧrú || bugrú || bugrɨ́, bädä́n	bö:rü || bö:ri
29	ГРУДЬ	н1акха	дөш, синә	тёш сюеклер	тош	kerén	labur/HL		L'õ:rak'˳a/RRL	niX/H	níXi/H	niXi	niXi/R	Hamori	Xema	Rerö/MH	Rero	Reru	dak'˳	miqíre	Xátum	muXúr/H	X	muXúr	NA	muXúr	muXúr	NA	Xɨr	mɨXɨ́r	Koksɨ/L	NA	koksi	maXar	maXar	koksú || koksɨ́	döš
30	СОСОК	т1ар	мәмәҹик	эмчек башы	эмчек	čučú, čučúdul bet'ér	koka/HL		kaka/HL, mic̄'o/RH	čača/L	čéča/L, k'uk'ún/H, míc'i/L	kyekya, kyekyiLa ʔ˳ani	koko/L, kokus maIL'u	kiki	t'um	nene/L	nene	nene, nenos hũt', kigla	qazam, k̄uk̄u, mazu	háp̄a, t'e	mam	nenéj/F, nenén k'áka	naná, nanájin k'ul	NA	bizí	bizí	bizí	NA	mam, mamɨn k'˳ek'	t'it'	muXu/H, mit'y/H	mɨXɨ, mit'y	muXu, mit'y	jěXä, mäm	duš, məm	maXár, k'unúr	c̃ic̃ik̃
31	ВЫМЯ	шин	јелин, әмҹәк	елин	елим; эмчек	xud	išu/RL		išo/R	ĩh˳/R	íhu/RL	ihu	moRu/HL	meRu	Romo	NA	NA	nene	q̅˳al	búrʕa	q˳al	XIaw/F	XIaw	x̌aw	x̌aw	x̌aw	XIaw	NA	reXǘ	XIɨw	XIu/F	X˳Ia	XIo	Hävi	Havi	t'ä	XIo
32	пупок	ц1анга	ҝөбәк	гинник	гинник	c'ínu	c̄'unno/H		c̄'ũL̅i-kat'i/RL-RL	s'ũj/HR	c'ũj/L	cũ	cet'on/LR	cot'ori	čit'o	cot'aro/MRLL	cot'aro	cõt'or	c'un	zu	c'an	Xút'u/H	Xut'	NA	funín Xut'	(funín) Xut'	funín Xut'	NA	p̃ic'	uxníd dan	wuxnen dan	uxneny dan	wuxnen dan	bič'	bɨc'	c'um	c̃an
33	ЯГОДИЦЫ	NA	сағры, јан	бутну арт сому	учалар	maRáK'	beX̅irq'il/HHL, rus̄i/L		ros̄oL̄i k'ãL̄'u, ros̄i/R	wos̄/H	rus̄í/L	beX̅i, ros̄i	k'ežu/L	Xuti	ket'a	kot'a/ML, müR/L	kot'a, müR	kõt'a, pilu	buXč'ins̄a	XIuXI, XIúXIla alq̄é, put'á	dič', dugáli	c̊uc̊/R, ӡ̊úq'u/R	c̊uc̊, ӡ̊ uq', kafál	cuc	cuc	cuc, ǯuq'	ǯuq', cuc	NA	t'uk	GúRdɨ q'at', uk	XIɨdɨXI/HL, ak'ur/HL, uma/HR	XIɨdɨXI, ak'ur, uma	XIɨdɨXI, XIɨdXiana baIǯe, uma	gɨlä	dumbǝ	dámba, umbá, bulú	šan
34	ЧЛЕН МУЖСКОЙ	т1ен	сик	эргишини уят ери	чук	bexér	k'ink'i/HL, k'ek'e/H		ʕač'i/RL, gaca/HL	k˳int'aɬɨ/LHH, cora/H, Rant'a/H	Rant'á/H, k'ók'a/H	Rat'a, eja, geča	belu/L	bilu	bilu	daL'/L	daL'	mažar, L'aša, t'ãL', q'ap'a, ʕasa	č'ač', mat'a	t̄úna, čit'ára	k'ačá	gurgúr/H, bilbíl/H	gurgúr, bilbíl, mimít', q'urq'úr	gurgúr, but'út'	but'	NA	but'	NA	was, memís	bɨlɨ́t', q'Iɨq'I	sitir/L, čuk/L	sitɨr, čuk	sitir, čuk	gädän, měc'ěj	gǝddǝn, bic'el	mämil, k'urúz	k̃ol
35	ВЛАГАЛИЩЕ	NA	ушаглыг јолу	ам	мятду	roc	but'a/L		but'a/L	q'uč'a/H, but'a/L	q'úč'a/L, bút'a/L	but'a, q'uč'a	but'a/l	bet'i	bet'e	puce/L	puci	pusi, beše, šak'it'u	miš	čuntá, duklúš	q'Iut'	bíc'i/L, báIt̄aj/L	puš, t'ut', c̊'aX	NA	biš	biš	biš	NA	pɨš	pɨc	pɨc/L	NA	pɨc	pišt'i	bit'i	kilä́, t'ärä́, bac̄̌c̄̌ɨ́	k̃u t̃
36	ХВОСТ	ц1ога	гујруг	къуйрукъ	къуйрукъ	maR	miRerč'u/L, beX̅umRul/H		kaL̄i/HF	miRa/L, muRul/H	míRa/L, beč'í/H	miRa, muRul	mihe/LH, k'ic'-mihe/HL	maHi	mihi	miR/M	NA	miR	maR, u t̅ulu	č'imé, č'aImúž	oIč, q'ut̅úl	ríӡ̊i/F	riӡ̊	ruǯ	ruž	ruǯ	rügy	NA	t̃ɨm	ǯɨbɨ́r	bɨIt/H, ǯɨk'rɨ/RL, aIrd/H	bɨIt, ǯɨk'rɨ, aIrd	bɨIt, aIrd	ǯi	ǯibir	q'až, moq'únč	ožIil
37	РУКА	пхьарс	әл, гол	къол	къол	ruL'	Ražu/HF		Raža/HL	Raz˳/H	Razú/H	Ražu, hanšal	geša/H	reL'a, mecu/HL	k˳ezej, mecu	bico-riL'a/ML-L, bico/ML	bico-riL'a, bico	bɨcu	k̄˳a	naq̄I	Xol	Xil/H	Xil	NA	NA	NA	Xil	NA	Xil	Xɨl	Xɨly/H, guč/H	NA	Xɨly, guč	Xäb, kɨl	kɨl	k'ɨl	kul, aIm
38	ЛОКОТЬ	гола	дирсәк	тирсек	тирсек	hudú-meL'él	c̄'ikom/L		eLelo/HHL	s'ik˳ã/L	c'ikán/L	č'ink'u	hol/R	horu	horu	Xaro/LM	haro	hẽru	s̄ulq	dulúg	č'ot-Xol	Xalúrc̄̌u/R	qṷr̭šíl || Xṷr̭šíl	ʕaršíl	NA	NA	q̅arxíl	NA	q'ünš	kulégy	Xɨlyak̄am/H	Xɨlyak̄am	Xɨlyak̄ɨn || Xɨlyak̄ɨm	ijič'ut'	dirsäg	dirsä́g	dirsäg
39	ЛАПА	т1од	пәнҹә	аякъ	аякъ	k˳ač	k˳ač'a/H		k˳ač'i/R	k˳ans̄/L	kóša/L	k˳anša	k˳ašu/HL	lidu	lidu	ap'a/M	ap'a	ɵp'ɵ	t'anqI	čang	k˳ač	bac/H	bac	kark	panž	panǯ	panǯ	NA	k̃ap̃áč	k˳anč	pataXI/H	pataqI	pataXI	gäbäč	pänǯä	pänǯä	c̈̌äc̈̌ik̃ || c̈̌äc̈̌uk̃
40	КИСТЬ РУКИ	куьг	әл	къол	къол	k˳er	rela/HF		reL'a/RL	jela/H	réla/H	rela	lɨL'a/H	reL'a	k˳ezej	koro/M	koro	koro	qat	bek'-naq̄I	kul	NA	NA	gap	bač	NA	NA	NA	k̃ap̃áč	pelt'	NA	pataXI	pataqI	Xäb	Xab	kul	NA
41	КУЛАК	буй	јумруг	юмурукъ	юмурукъ	žor	za/L		žari/L	hũč'a/L	hũč'á/H	za:	buso/HL	besi	beši	biza/M	biza	bɨza	zak̄ana	q'Ius̄̌	X̄ik'	Rúrdu/H	Rurd	Xurd	Xurd	Xurd	Rurd	NA	Xud	Xud	Xud/H	NA	Xud	Xid	mek'	c̃ɨl	jumburuR
42	ладонь	куьг	овуҹ	ая (къолну)	ая	qat	qota/HF		qati/RL, bak'a/R	qanta/L	qantá/L	uni-rela	q'edu/H	q'Ӏiju	q'iju	qat/M	qat	q'idin	wi-t'anqI	bark̄˳ naq̄I	q'˳an	Xilín gah/R	Xlin gah	k̄alán jiq'I	Xilín Řan	gap	gap	NA	k̃ap	q'˳anáq, gap	Xɨlen q'Ionek || q'Ionak	Xɨlen q'anyak	q'oneky	Xaba jiq'ɨč	Xaba q'osiǯ	(kuté) q'on	kijin boš
43	ГОРСТЬ (ОДНОЙ РУКИ)	NA	овуҹ	бир увуч, бир къысым	увуч, къисим	qat	qota		dãR˳a/HL	NA	qanta	qatu	Rošo/HL	moqIu	meLu	mäRö/m	mähö	mɵRu	K'ama	q'Ius̄̌, čang	X̄at	kark/H	kark	kark	čang	čang	čang	NA	čang	xax	xax/H	čapar	xax	čěng	čängä	c̃ɨl	maXIa
44	ГОРСТЬ (ДВУХ РУК)	кана	гуҹаг (как охапка)	эки увуч, эки къысым	эки увуч, эки къисим	dánRur	ɬumur/L		dãR˳ara/HL	ɬum/L	ɬumúl/L	humur	bibin/L	meru	NA	q'i/FH	q'iden	q'i	k'˳ijǎ:ma	maI	q'˳Iébq'Ii	miǧár/H	miǧ	merš	mexy	mexy	mexy	NA	mex	mex	mex/H	maxy	NA	mek	mek	ó:dɨl	NA
45	ПЯДЬ БОЛЬШАЯ	NA	гарыш (как и большая пядь)	къарыш	къариш	roL'ób	heL'im/HF		reL̄'e/H	jeL'im/H	reL'ún/H	reL'ab	t'om/H	t'om	t'emu	t'imo/H	t'imo	t'ɨmu	aInt	č'im	č'˳im	č'ew/H	č'ib	č'iw	č'eIb || č'iIb	č'iIw	č'ib	NA	č'ib	č'ub	č'um/H	č'um	č'um	k'ěp'	c'ip'	ɨnk'	ǯi
46	ПЯДЬ МАЛАЯ	NA	гарыш ???	къарыш	къариш	oRób	mič'i-heL'im/L-HF		rek'u/HL	č'ibil/H	č'iwúl/LH	qinub reL'ab	t'ihu/HL	t'aHu	t'ihu	ǟč'/L	NA	k'ẽc'u	č'ara aInt	NA	NA	bic'i č'ew	čerék	c'at̄ú	c'at̄úr	c'at̄úl	c'at̄úr	NA	čerék	čarák	NA	čarak	NA	NA	NA	NA	NA
47	НОГА (ВЫШЕ СТУПНИ)	ког	ајаг	аякъ	аякъ	máHu, rat'á	čuk'a, reRil/HL		ʕĩja/HF, k˳aši/L	jeRil, L'eč'ũ/HR	reRil, L'eč'ún/HR	beg˳Li, beXi	NA	k'onč'u	k'onc'u, č'iRu	č'ämäl/ML, riL'a/L	čämäl, riL'a	č'umal	c̄̌an, s̄an	ník̄a, burúk'	aq, L'ol	lik/F, gül/R	lik, k̄ül	lek	lak	lek	lik	NA	k'˳ač	Ril, gɨl	Rely/H, gɨwɨ/H	Rely, gɨwɨ	Gely, gɨwɨ	Gil	Gil	pačá	tur
48	НОГА (СТУПНЯ)	ког	пәнҹә	аякъны тюбю	аякъни туву	boX	čuk'a/HF		c̄'ek'a/HL	Rab/L	Rabú/L	k˳anša	lolo/L	rori	rore	Xäbä/ML	Xäbä	hele	č'anc̄̌an	x̄ar-níkā	moƚ̄ól	NA	likrín k'an	NA	t̅ ullé lak	tullé lek	NA	NA	k˳ačín k'an	Rɨ́ldɨ q'an	Reĺyɨn xane	Reliny xane	Gelin xane	Gili q'än, pänǯě	Gil	ank	turin oq̄aXun
49	голень (а. '= ; б. нога ниже колена)	ност	балдыр	сыйракъ	сийракъ	buq'á máHu	nik˳o/LH		nik˳a/HF	sar˳/L, bec˳/L	sarú/L	NA	k'ak'a/HL	bečni	NA	mičnä/ML	micna	NA	k'uIla lic̄̌a	t'uIr, č'ák'a	k'˳íri	NA	NA	q̄undáʕ	ad	NA	(likún) č'ep̄íl	NA	c'ɨm	č'aráq'aj	kɨc'a/HL	NA	kɨc'a	sijir, Xäšov, č'erč	č'erč	ank	NA
50	БЕДРО	ха	омба, буд	бут	бут	bicádab maHu	aqu/HF		leRi/HL	jeRil/HL	réRil/HL	begyal	lihiil/LH	ʕoRI	oR	riRla/ML	riRla	rɨRla	žira	urt̄úr	žará	áGa/F	aR	aR	aR	NA	aR	NA	jatúr	zúba	Gat̄ar/HL	Rat̄ar	Gat̄ar	jetir, k'˳ani	jotur	kɨz, Xilí	c̄̌il
